kind,series_name,series_imdb_id,season,episode,original_air_date,original_air_year,rating,votes,runtime,is_comedy,is_drama
tv series,Dead to Me,8064302,1,9,3-May-19,2019,8.7,1242,29,1,1
tv series,Dead to Me,8064302,1,10,3-May-19,2019,8.8,1364,30,1,1
tv series,Dead to Me,8064302,2,1,8-May-20,2020,8,908,31,1,1
tv series,Dead to Me,8064302,2,2,8-May-20,2020,7.7,806,32,1,1
tv series,Dead to Me,8064302,2,3,8-May-20,2020,7.8,768,30,1,1
tv series,Dead to Me,8064302,2,4,8-May-20,2020,7.9,773,31,1,1
tv series,Dead to Me,8064302,2,5,8-May-20,2020,7.9,743,34,1,1
tv series,Dead to Me,8064302,2,6,8-May-20,2020,8.3,779,32,1,1
tv series,Dead to Me,8064302,2,7,8-May-20,2020,8.1,735,34,1,1
tv series,Dead to Me,8064302,2,8,8-May-20,2020,8.1,716,34,1,1
tv series,Dead to Me,8064302,2,9,8-May-20,2020,8.8,854,32,1,1
tv series,Dead to Me,8064302,2,10,8-May-20,2020,8.8,899,34,1,1
tv series,Dead to Me,8064302,3,1,,,,,,1,1
tv series,Giri/Haji,8001106,1,1,17 Oct. 2019,2019,7.9,337,,0,1
tv series,Giri/Haji,8001106,1,2,17 Oct. 2019,2019,7.9,275,,0,1
tv series,Giri/Haji,8001106,1,3,17 Oct. 2019,2019,8.1,247,57,0,1
tv series,Giri/Haji,8001106,1,4,17 Oct. 2019,2019,8.7,316,,0,1
tv series,Giri/Haji,8001106,1,5,17 Oct. 2019,2019,8,216,59,0,1
tv series,Giri/Haji,8001106,1,6,17 Oct. 2019,2019,8,203,57,0,1
tv series,Giri/Haji,8001106,1,7,17 Oct. 2019,2019,8.2,207,,0,1
tv series,Giri/Haji,8001106,1,8,17 Oct. 2019,2019,8.4,285,,0,1
tv series,Never Have I Ever,10062292,1,1,27 Apr. 2020,2020,7.5,591,28,1,0
tv series,Never Have I Ever,10062292,1,2,27 Apr. 2020,2020,7.7,516,29,1,0
tv series,Never Have I Ever,10062292,1,3,27 Apr. 2020,2020,7.9,486,30,1,0
tv series,Never Have I Ever,10062292,1,4,27 Apr. 2020,2020,7.8,483,22,1,0
tv series,Never Have I Ever,10062292,1,5,27 Apr. 2020,2020,7.9,481,29,1,0
tv series,Never Have I Ever,10062292,1,6,27 Apr. 2020,2020,8.5,556,23,1,0
tv series,Never Have I Ever,10062292,1,7,27 Apr. 2020,2020,7.7,435,24,1,0
tv series,Never Have I Ever,10062292,1,8,27 Apr. 2020,2020,8.2,450,28,1,0
tv series,Never Have I Ever,10062292,1,9,27 Apr. 2020,2020,8.5,479,24,1,0
tv series,Never Have I Ever,10062292,1,10,27 Apr. 2020,2020,8.8,604,28,1,0
tv series,Never Have I Ever,10062292,2,1,,,,,,1,0
tv series,Dear White People,5707802,1,1,28 Apr. 2017,2017,6.2,809,33,1,1
tv series,Dear White People,5707802,1,2,28 Apr. 2017,2017,6.1,718,29,1,1
tv series,Dear White People,5707802,1,3,28 Apr. 2017,2017,5.9,583,22,1,1
tv series,Dear White People,5707802,1,4,28 Apr. 2017,2017,6,625,27,1,1
tv series,Dear White People,5707802,1,5,28 Apr. 2017,2017,7.3,942,17,1,1
tv series,Dear White People,5707802,1,6,28 Apr. 2017,2017,5.9,525,26,1,1
tv series,Dear White People,5707802,1,7,28 Apr. 2017,2017,5.7,499,22,1,1
tv series,Dear White People,5707802,1,8,28 Apr. 2017,2017,5.7,475,25,1,1
tv series,Dear White People,5707802,1,9,28 Apr. 2017,2017,5.6,519,20,1,1
tv series,Dear White People,5707802,1,10,28 Apr. 2017,2017,6,555,29,1,1
tv series,Dear White People,5707802,2,1,4-May-18,2018,5.8,326,31,1,1
tv series,Dear White People,5707802,2,2,4-May-18,2018,5.5,256,29,1,1
tv series,Dear White People,5707802,2,3,4-May-18,2018,5.4,249,28,1,1
tv series,Dear White People,5707802,2,4,4-May-18,2018,5.7,262,29,1,1
tv series,Dear White People,5707802,2,5,4-May-18,2018,5.6,256,28,1,1
tv series,Dear White People,5707802,2,6,4-May-18,2018,5.4,241,32,1,1
tv series,Dear White People,5707802,2,7,4-May-18,2018,5.3,241,22,1,1
tv series,Dear White People,5707802,2,8,4-May-18,2018,6.1,316,31,1,1
tv series,Dear White People,5707802,2,9,4-May-18,2018,5.7,260,28,1,1
tv series,Dear White People,5707802,2,10,4-May-18,2018,5.3,242,35,1,1
tv series,Dear White People,5707802,3,1,2 Aug. 2019,2019,5.2,192,29,1,1
tv series,Dear White People,5707802,3,2,2 Aug. 2019,2019,5.2,150,30,1,1
tv series,Dear White People,5707802,3,3,2 Aug. 2019,2019,4.9,137,32,1,1
tv series,Dear White People,5707802,3,4,2 Aug. 2019,2019,5,135,26,1,1
tv series,Dear White People,5707802,3,5,2 Aug. 2019,2019,5.3,131,28,1,1
tv series,Dear White People,5707802,3,6,2 Aug. 2019,2019,5,123,29,1,1
tv series,Dear White People,5707802,3,7,2 Aug. 2019,2019,5.2,128,33,1,1
tv series,Dear White People,5707802,3,8,2 Aug. 2019,2019,5.1,125,,1,1
tv series,Dear White People,5707802,3,9,2 Aug. 2019,2019,4.9,125,25,1,1
tv series,Dear White People,5707802,3,10,2 Aug. 2019,2019,5.1,131,,1,1
tv series,Dear White People,5707802,4,1,2020,,,,,1,1
tv series,Dear White People,5707802,4,2,2020,,,,,1,1
tv series,Dear White People,5707802,4,3,2020,,,,,1,1
tv series,Dear White People,5707802,4,4,2020,,,,,1,1
tv series,Dear White People,5707802,4,5,2020,,,,,1,1
tv series,Dear White People,5707802,4,6,2020,,,,,1,1
tv series,Dear White People,5707802,4,7,2020,,,,,1,1
tv series,Dear White People,5707802,4,8,2020,,,,,1,1
tv series,Dear White People,5707802,4,9,2020,,,,,1,1
tv series,Dear White People,5707802,4,10,2020,,,,,1,1
tv series,Cable Girls,5674718,-1,-1,3 Jul. 2020,2020,6,32,,0,1
tv series,Cable Girls,5674718,1,1,28 Apr. 2017,2017,7.6,294,,0,1
tv series,Cable Girls,5674718,1,2,28 Apr. 2017,2017,7.8,225,,0,1
tv series,Cable Girls,5674718,1,3,28 Apr. 2017,2017,8.1,200,,0,1
tv series,Cable Girls,5674718,1,4,28 Apr. 2017,2017,8,186,,0,1
tv series,Cable Girls,5674718,1,5,28 Apr. 2017,2017,8.3,186,,0,1
tv series,Cable Girls,5674718,1,6,28 Apr. 2017,2017,8.7,189,,0,1
tv series,Cable Girls,5674718,1,7,28 Apr. 2017,2017,8.5,175,,0,1
tv series,Cable Girls,5674718,1,8,28 Apr. 2017,2017,8.5,195,,0,1
tv series,Cable Girls,5674718,2,1,25 Dec. 2017,2017,8.5,165,,0,1
tv series,Cable Girls,5674718,2,2,25 Dec. 2017,2017,8.3,148,,0,1
tv series,Cable Girls,5674718,2,3,25 Dec. 2017,2017,8.4,141,,0,1
tv series,Cable Girls,5674718,2,4,25 Dec. 2017,2017,8.7,152,,0,1
tv series,Cable Girls,5674718,2,5,25 Dec. 2017,2017,8.5,136,,0,1
tv series,Cable Girls,5674718,2,6,25 Dec. 2017,2017,8.4,134,,0,1
tv series,Cable Girls,5674718,2,7,25 Dec. 2017,2017,8.8,149,,0,1
tv series,Cable Girls,5674718,2,8,25 Dec. 2017,2017,9,189,,0,1
tv series,Cable Girls,5674718,3,1,7 Sep. 2018,2018,8.1,145,,0,1
tv series,Cable Girls,5674718,3,2,7 Sep. 2018,2018,8.2,120,,0,1
tv series,Cable Girls,5674718,3,3,7 Sep. 2018,2018,8.2,116,,0,1
tv series,Cable Girls,5674718,3,4,7 Sep. 2018,2018,8.4,114,,0,1
tv series,Cable Girls,5674718,3,5,7 Sep. 2018,2018,8.3,106,,0,1
tv series,Cable Girls,5674718,3,6,7 Sep. 2018,2018,8.3,104,,0,1
tv series,Cable Girls,5674718,3,7,7 Sep. 2018,2018,8.3,118,,0,1
tv series,Cable Girls,5674718,3,8,7 Sep. 2018,2018,8.6,140,,0,1
tv series,Cable Girls,5674718,4,1,9 Aug. 2019,2019,7.3,93,,0,1
tv series,Cable Girls,5674718,4,2,9 Aug. 2019,2019,7.6,85,,0,1
tv series,Cable Girls,5674718,4,3,9 Aug. 2019,2019,7.4,82,,0,1
tv series,Cable Girls,5674718,4,4,9 Aug. 2019,2019,7.3,81,,0,1
tv series,Cable Girls,5674718,4,5,9 Aug. 2019,2019,7.2,82,,0,1
tv series,Cable Girls,5674718,4,6,9 Aug. 2019,2019,7.4,78,,0,1
tv series,Cable Girls,5674718,4,7,9 Aug. 2019,2019,7.4,81,,0,1
tv series,Cable Girls,5674718,4,8,9 Aug. 2019,2019,7.6,108,,0,1
tv series,Cable Girls,5674718,5,1,14 Feb. 2020,2020,7.9,79,,0,1
tv series,Cable Girls,5674718,5,2,14 Feb. 2020,2020,7.9,70,,0,1
tv series,Cable Girls,5674718,5,3,14 Feb. 2020,2020,7.9,68,,0,1
tv series,Cable Girls,5674718,5,4,14 Feb. 2020,2020,7.6,69,,0,1
tv series,Cable Girls,5674718,5,5,14 Feb. 2020,2020,7.4,85,,0,1
tv series,Cable Girls,5674718,5,6,3 Jul. 2020,2020,7.8,47,,0,1
tv series,Cable Girls,5674718,5,7,3 Jul. 2020,2020,7.9,44,,0,1
tv series,Cable Girls,5674718,5,8,3 Jul. 2020,2020,8.2,43,,0,1
tv series,Cable Girls,5674718,5,9,3 Jul. 2020,2020,8.1,40,,0,1
tv series,Cable Girls,5674718,5,10,3 Jul. 2020,2020,6.7,60,,0,1
tv series,Cable Girls,5674718,5,12,3 Jul. 2020,2020,5.2,58,,0,1
tv series,Dragons: Race to the Edge,4816058,1,1,26 Jun. 2015,2015,7.6,158,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,2,26 Jun. 2015,2015,7.7,138,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,3,26 Jun. 2015,2015,7.6,116,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,4,26 Jun. 2015,2015,7.5,115,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,5,26 Jun. 2015,2015,7.4,110,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,6,26 Jun. 2015,2015,7.4,107,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,7,26 Jun. 2015,2015,7.7,108,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,8,26 Jun. 2015,2015,7.7,104,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,9,26 Jun. 2015,2015,7.3,102,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,10,26 Jun. 2015,2015,7.8,115,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,11,26 Jun. 2015,2015,7.9,120,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,12,26 Jun. 2015,2015,7.9,101,22,1,0
tv series,Dragons: Race to the Edge,4816058,1,13,26 Jun. 2015,2015,7.8,108,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,1,8 Jan. 2016,2016,8.4,97,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,2,8 Jan. 2016,2016,8.6,89,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,3,8 Jan. 2016,2016,8.6,87,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,4,8 Jan. 2016,2016,8,83,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,5,8 Jan. 2016,2016,8.1,82,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,6,8 Jan. 2016,2016,8.4,89,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,7,8 Jan. 2016,2016,8.4,82,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,8,8 Jan. 2016,2016,8.6,89,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,9,8 Jan. 2016,2016,8.6,89,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,10,8 Jan. 2016,2016,8.2,76,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,11,8 Jan. 2016,2016,8.5,78,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,12,8 Jan. 2016,2016,8.7,83,22,1,0
tv series,Dragons: Race to the Edge,4816058,2,13,8 Jan. 2016,2016,8.7,82,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,1,24 Jun. 2016,2016,8.8,98,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,2,24 Jun. 2016,2016,8.3,81,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,3,24 Jun. 2016,2016,8.1,73,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,4,24 Jun. 2016,2016,8.3,77,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,5,24 Jun. 2016,2016,8.7,94,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,6,24 Jun. 2016,2016,8.2,87,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,7,24 Jun. 2016,2016,7,92,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,8,24 Jun. 2016,2016,8.7,88,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,9,24 Jun. 2016,2016,7.8,101,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,10,24 Jun. 2016,2016,8.2,82,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,11,24 Jun. 2016,2016,8.7,101,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,12,24 Jun. 2016,2016,8.6,87,22,1,0
tv series,Dragons: Race to the Edge,4816058,3,13,24 Jun. 2016,2016,8.4,96,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,1,17 Feb. 2017,2017,8.4,138,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,2,17 Feb. 2017,2017,8,83,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,3,17 Feb. 2017,2017,8.6,77,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,4,17 Feb. 2017,2017,8.1,78,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,5,17 Feb. 2017,2017,7.3,84,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,6,17 Feb. 2017,2017,8.8,82,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,7,17 Feb. 2017,2017,8.4,80,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,8,17 Feb. 2017,2017,8.7,79,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,9,17 Feb. 2017,2017,8.4,74,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,10,17 Feb. 2017,2017,8.4,72,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,11,17 Feb. 2017,2017,9.4,137,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,12,17 Feb. 2017,2017,9.1,102,22,1,0
tv series,Dragons: Race to the Edge,4816058,4,13,17 Feb. 2017,2017,9,108,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,1,25 Aug. 2017,2017,8.2,72,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,2,25 Aug. 2017,2017,8.6,84,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,3,25 Aug. 2017,2017,7.7,63,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,4,25 Aug. 2017,2017,7.1,65,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,5,25 Aug. 2017,2017,8.3,59,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,6,25 Aug. 2017,2017,7.9,59,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,7,25 Aug. 2017,2017,8.1,56,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,8,25 Aug. 2017,2017,8.7,60,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,9,25 Aug. 2017,2017,8.8,63,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,10,25 Aug. 2017,2017,8.2,56,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,11,25 Aug. 2017,2017,7.5,60,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,12,25 Aug. 2017,2017,8,58,22,1,0
tv series,Dragons: Race to the Edge,4816058,5,13,25 Aug. 2017,2017,7.5,73,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,1,16 Feb. 2018,2018,8.9,64,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,2,16 Feb. 2018,2018,8.6,57,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,3,16 Feb. 2018,2018,8.6,61,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,4,16 Feb. 2018,2018,8.3,57,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,5,16 Feb. 2018,2018,8,54,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,6,16 Feb. 2018,2018,8.6,67,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,7,16 Feb. 2018,2018,8.3,57,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,8,16 Feb. 2018,2018,9.2,64,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,9,16 Feb. 2018,2018,8.5,56,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,10,16 Feb. 2018,2018,8.4,55,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,11,16 Feb. 2018,2018,8.5,55,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,12,16 Feb. 2018,2018,9.2,73,22,1,0
tv series,Dragons: Race to the Edge,4816058,6,13,16 Feb. 2018,2018,9.4,114,22,1,0
tv series,Dirty Money,7889220,1,1,26 Jan. 2018,2018,7.8,1031,75,0,0
tv series,Dirty Money,7889220,1,2,26 Jan. 2018,2018,8.1,793,68,0,0
tv series,Dirty Money,7889220,1,3,26 Jan. 2018,2018,8.6,837,66,0,0
tv series,Dirty Money,7889220,1,4,26 Jan. 2018,2018,7.8,675,50,0,0
tv series,Dirty Money,7889220,1,5,26 Jan. 2018,2018,6.3,579,,0,0
tv series,Dirty Money,7889220,1,6,26 Jan. 2018,2018,8.2,863,77,0,0
tv series,Dirty Money,7889220,2,1,11 Mar. 2020,2020,7.6,287,,0,0
tv series,Dirty Money,7889220,2,2,11 Mar. 2020,2020,7.4,231,,0,0
tv series,Dirty Money,7889220,2,3,11 Mar. 2020,2020,8.1,326,65,0,0
tv series,Dirty Money,7889220,2,4,11 Mar. 2020,2020,7.8,219,,0,0
tv series,Dirty Money,7889220,2,5,11 Mar. 2020,2020,8.5,210,,0,0
tv series,Dirty Money,7889220,2,6,11 Mar. 2020,2020,7.7,158,,0,0
tv series,Motown Magic,8959860,1,1,20 Nov. 2018,2018,8.6,18,,1,0
tv series,Motown Magic,8959860,1,2,20 Nov. 2018,2018,8.6,17,,1,0
tv series,Motown Magic,8959860,1,3,20 Nov. 2018,2018,7.7,11,,1,0
tv series,Motown Magic,8959860,1,4,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,5,20 Nov. 2018,2018,7.5,10,,1,0
tv series,Motown Magic,8959860,1,6,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,7,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,8,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,9,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,10,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,11,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,12,20 Nov. 2018,2018,8.5,16,,1,0
tv series,Motown Magic,8959860,1,13,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,14,20 Nov. 2018,2018,7.7,11,,1,0
tv series,Motown Magic,8959860,1,15,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,16,20 Nov. 2018,2018,7.7,11,,1,0
tv series,Motown Magic,8959860,1,17,20 Nov. 2018,2018,7.8,11,,1,0
tv series,Motown Magic,8959860,1,18,20 Nov. 2018,2018,7.3,9,,1,0
tv series,Motown Magic,8959860,1,19,20 Nov. 2018,2018,8.5,16,,1,0
tv series,Motown Magic,8959860,1,20,20 Nov. 2018,2018,7.7,11,,1,0
tv series,Motown Magic,8959860,1,21,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,1,22,20 Nov. 2018,2018,7.7,11,,1,0
tv series,Motown Magic,8959860,1,23,20 Nov. 2018,2018,7.7,11,,1,0
tv series,Motown Magic,8959860,1,24,20 Nov. 2018,2018,7.7,11,,1,0
tv series,Motown Magic,8959860,1,25,20 Nov. 2018,2018,7.6,10,,1,0
tv series,Motown Magic,8959860,2,1,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,2,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,3,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,4,28 Jun. 2019,2019,7.7,9,,1,0
tv series,Motown Magic,8959860,2,5,28 Jun. 2019,2019,7.7,9,,1,0
tv series,Motown Magic,8959860,2,6,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,7,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,8,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,9,28 Jun. 2019,2019,8.1,12,,1,0
tv series,Motown Magic,8959860,2,10,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,11,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,12,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,13,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,14,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,15,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,16,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,17,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,18,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,19,28 Jun. 2019,2019,7.6,9,,1,0
tv series,Motown Magic,8959860,2,20,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,21,28 Jun. 2019,2019,7.6,9,,1,0
tv series,Motown Magic,8959860,2,22,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,23,28 Jun. 2019,2019,8.4,14,,1,0
tv series,Motown Magic,8959860,2,24,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,25,28 Jun. 2019,2019,7.4,8,,1,0
tv series,Motown Magic,8959860,2,26,28 Jun. 2019,2019,7.4,8,,1,0
tv series,The Crown,4786824,1,1,4 Nov. 2016,2016,8.3,3859,56,0,1
tv series,The Crown,4786824,1,2,4 Nov. 2016,2016,9.1,3910,61,0,1
tv series,The Crown,4786824,1,3,4 Nov. 2016,2016,8.3,3002,59,0,1
tv series,The Crown,4786824,1,4,4 Nov. 2016,2016,8.7,3098,57,0,1
tv series,The Crown,4786824,1,5,4 Nov. 2016,2016,8.6,2892,55,0,1
tv series,The Crown,4786824,1,6,4 Nov. 2016,2016,8.2,2624,58,0,1
tv series,The Crown,4786824,1,7,4 Nov. 2016,2016,8.9,2846,58,0,1
tv series,The Crown,4786824,1,8,4 Nov. 2016,2016,8.5,2576,58,0,1
tv series,The Crown,4786824,1,9,4 Nov. 2016,2016,9.2,3280,60,0,1
tv series,The Crown,4786824,1,10,4 Nov. 2016,2016,8.7,2591,54,0,1
tv series,The Crown,4786824,2,1,8 Dec. 2017,2017,8.3,2334,56,0,1
tv series,The Crown,4786824,2,2,8 Dec. 2017,2017,8.3,2197,54,0,1
tv series,The Crown,4786824,2,3,8 Dec. 2017,2017,8.5,2170,56,0,1
tv series,The Crown,4786824,2,4,8 Dec. 2017,2017,8.7,2557,60,0,1
tv series,The Crown,4786824,2,5,8 Dec. 2017,2017,9.1,2577,61,0,1
tv series,The Crown,4786824,2,6,8 Dec. 2017,2017,9.2,2778,61,0,1
tv series,The Crown,4786824,2,7,8 Dec. 2017,2017,8.2,2161,60,0,1
tv series,The Crown,4786824,2,8,8 Dec. 2017,2017,9.2,3009,57,0,1
tv series,The Crown,4786824,2,9,8 Dec. 2017,2017,8.8,2580,60,0,1
tv series,The Crown,4786824,2,10,8 Dec. 2017,2017,8.5,2095,59,0,1
tv series,The Crown,4786824,3,1,17 Nov. 2019,2019,8.1,2679,48,0,1
tv series,The Crown,4786824,3,2,17 Nov. 2019,2019,8.6,2426,48,0,1
tv series,The Crown,4786824,3,3,17 Nov. 2019,2019,9.4,3629,55,0,1
tv series,The Crown,4786824,3,4,17 Nov. 2019,2019,8.8,2531,60,0,1
tv series,The Crown,4786824,3,5,17 Nov. 2019,2019,8.1,2088,57,0,1
tv series,The Crown,4786824,3,6,17 Nov. 2019,2019,9.2,2939,56,0,1
tv series,The Crown,4786824,3,7,17 Nov. 2019,2019,8.1,2377,56,0,1
tv series,The Crown,4786824,3,8,17 Nov. 2019,2019,8.3,1872,47,0,1
tv series,The Crown,4786824,3,9,17 Nov. 2019,2019,8.2,1664,47,0,1
tv series,The Crown,4786824,3,10,17 Nov. 2019,2019,8.4,1746,59,0,1
tv series,The Crown,4786824,4,1,2020,,,,,0,1
tv series,The Crown,4786824,4,2,2020,,,,,0,1
tv series,The Crown,4786824,4,3,2020,,,,,0,1
tv series,The Crown,4786824,4,4,2020,,,,,0,1
tv series,The Crown,4786824,4,5,2020,,,,,0,1
tv series,The Crown,4786824,4,6,2020,,,,,0,1
tv series,The Crown,4786824,4,7,2020,,,,,0,1
tv series,The Crown,4786824,4,8,2020,,,,,0,1
tv series,The Crown,4786824,4,9,2020,,,,,0,1
tv series,The Crown,4786824,4,10,2020,,,,,0,1
tv series,The Crown,4786824,5,1,,,,,,0,1
tv series,The Crown,4786824,5,2,,,,,,0,1
tv series,The Crown,4786824,5,3,,,,,,0,1
tv series,The Crown,4786824,5,4,,,,,,0,1
tv series,The Crown,4786824,5,5,,,,,,0,1
tv series,The Crown,4786824,5,6,,,,,,0,1
tv series,The Crown,4786824,5,7,,,,,,0,1
tv series,The Crown,4786824,5,8,,,,,,0,1
tv series,The Crown,4786824,5,9,,,,,,0,1
tv series,The Crown,4786824,5,10,,,,,,0,1
tv series,The Crown,4786824,6,1,,,,,,0,1
tv series,The Crown,4786824,6,2,,,,,,0,1
tv series,The Crown,4786824,6,3,,,,,,0,1
tv series,The Crown,4786824,6,4,,,,,,0,1
tv series,The Crown,4786824,6,5,,,,,,0,1
tv series,The Crown,4786824,6,6,,,,,,0,1
tv series,The Crown,4786824,6,7,,,,,,0,1
tv series,The Crown,4786824,6,8,,,,,,0,1
tv series,The Crown,4786824,6,9,,,,,,0,1
tv series,The Crown,4786824,6,10,,,,,,0,1
tv series,Bottersnikes & Gumbles,6015820,1,1,Aug. 2016,2016,,,11,1,0
tv series,Bottersnikes & Gumbles,6015820,1,2,Aug. 2016,2016,,,,1,0
tv series,Bottersnikes & Gumbles,6015820,1,3,Aug. 2016,2016,,,,1,0
tv series,Bottersnikes & Gumbles,6015820,1,4,Aug. 2016,2016,,,,1,0
tv series,Bottersnikes & Gumbles,6015820,1,5,Aug. 2016,2016,,,,1,0
tv series,Bottersnikes & Gumbles,6015820,1,6,2016,,,,,1,0
tv series,Bottersnikes & Gumbles,6015820,1,7,2016,,,,11,1,0
tv series,Bottersnikes & Gumbles,6015820,1,8,2016,,,,,1,0
tv series,Bottersnikes & Gumbles,6015820,1,9,Aug. 2016,2016,,,,1,0
tv series,Bottersnikes & Gumbles,6015820,1,10,Aug. 2016,2016,,,,1,0
tv series,Bottersnikes & Gumbles,6015820,1,11,Aug. 2016,2016,,,,1,0
