"series_name","series_num","season","episode","rating","votes","runtime","is_comedy","is_drama","rating_miss"
"Arthdal Chronicles",16,2,1,8.9,104,80,0,1,8.9
"Arthdal Chronicles",16,2,2,9.3,99,80,0,1,9.3
"Arthdal Chronicles",16,2,3,9,100,80,0,1,9
"Arthdal Chronicles",16,2,4,9.6,97,80,0,1,9.6
"Arthdal Chronicles",16,2,5,9.5,98,80,0,1,9.5
"Arthdal Chronicles",16,2,6,9.5,115,80,0,1,9.5
"Arthdal Chronicles",16,3,1,9.4,103,80,0,1,9.4
"Arthdal Chronicles",16,3,2,9.4,100,80,0,1,9.4
"Arthdal Chronicles",16,3,3,9.7,98,80,0,1,9.7
"Arthdal Chronicles",16,3,4,9.7,91,80,0,1,9.7
"Arthdal Chronicles",16,3,5,9.7,88,80,0,1,9.7
"Arthdal Chronicles",16,3,6,9.5,96,80,0,1,9.5
"Ask the StoryBots",17,2,2,8.8,10,28,1,0,8.8
"Atypical",18,1,1,8.2,1278,38,1,1,NA
"Atypical",18,1,2,7.8,1059,34,1,1,NA
"Atypical",18,1,3,8,997,32,1,1,NA
"Atypical",18,1,4,8.4,997,33,1,1,NA
"Atypical",18,1,5,8.3,957,31,1,1,NA
"Atypical",18,1,6,8.2,917,31,1,1,NA
"Atypical",18,1,7,8.3,917,29,1,1,NA
"Atypical",18,1,8,9,1154,37,1,1,NA
"Atypical",18,2,1,8.2,789,30,1,1,8.2
"Atypical",18,2,2,8.1,733,29,1,1,8.1
"Atypical",18,2,3,8.1,722,30,1,1,8.1
"Atypical",18,2,4,8.5,731,32,1,1,8.5
"Atypical",18,2,5,8.1,707,30,1,1,8.1
"Atypical",18,2,6,8.5,733,29,1,1,8.5
"Atypical",18,2,7,8.3,689,31,1,1,8.3
"Atypical",18,2,8,8.1,682,26,1,1,8.1
"Atypical",18,2,9,8.5,750,30,1,1,8.5
"Atypical",18,2,10,9.2,1098,34,1,1,9.2
"Atypical",18,3,1,8,618,33,1,1,8
"Atypical",18,3,2,8.1,577,26,1,1,8.1
"Atypical",18,3,3,8.1,557,31,1,1,8.1
"Atypical",18,3,4,8.3,583,34,1,1,8.3
"Atypical",18,3,5,8.5,569,28,1,1,8.5
"Atypical",18,3,6,9.1,780,34,1,1,9.1
"Atypical",18,3,7,8.4,584,30,1,1,8.4
"Atypical",18,3,8,8.8,615,34,1,1,8.8
"Atypical",18,3,9,8.6,527,35,1,1,8.6
"Atypical",18,3,10,8.9,663,34,1,1,8.9
"Baby Ballroom",19,1,2,7.7,6,45,0,0,NA
"Baby Ballroom",19,1,3,7.7,6,45,0,0,NA
"Baby Ballroom",19,1,4,7.7,6,45,0,0,NA
"Baby Ballroom",19,1,6,6.8,6,45,0,0,NA
"Babylon Berlin",20,1,1,7.6,850,47,0,1,7.6
"Babylon Berlin",20,1,2,8.1,799,47,0,1,8.1
"Babylon Berlin",20,1,3,7.6,641,46,0,1,7.6
"Babylon Berlin",20,1,4,7.8,611,45,0,1,7.8
"Babylon Berlin",20,1,5,7.8,587,47,0,1,7.8
"Babylon Berlin",20,1,6,7.7,559,47,0,1,7.7
"Babylon Berlin",20,1,7,8,559,46,0,1,8
"Babylon Berlin",20,1,8,8.2,573,47,0,1,8.2
"Babylon Berlin",20,2,1,8,500,46,0,1,8
"Babylon Berlin",20,2,2,8.2,485,47,0,1,8.2
"Babylon Berlin",20,2,3,8,465,44,0,1,8
"Babylon Berlin",20,2,4,8.2,456,44,0,1,8.2
"Babylon Berlin",20,2,5,8.1,451,45,0,1,8.1
"Babylon Berlin",20,2,6,8.3,463,44,0,1,NA
"Babylon Berlin",20,3,1,7.9,301,50,0,1,7.9
"Babylon Berlin",20,3,4,7.8,248,48,0,1,7.8
"Babylon Berlin",20,3,5,7.8,228,45,0,1,7.8
"Babylon Berlin",20,3,6,7.9,230,45,0,1,7.9
"Babylon Berlin",20,3,8,7.9,226,50,0,1,7.9
"Babylon Berlin",20,3,9,8.2,244,50,0,1,8.2
"Babylon Berlin",20,3,12,8.1,256,62,0,1,8.1
"Bad Blood",21,1,1,7.6,247,44,0,1,NA
"Bad Blood",21,1,2,7.8,200,47,0,1,NA
"Bad Blood",21,1,3,7.9,181,47,0,1,NA
"Bad Blood",21,1,4,7.7,170,47,0,1,NA
"Bad Blood",21,1,5,7.8,151,47,0,1,NA
"Bad Blood",21,1,6,8.3,167,47,0,1,NA
"Bad Blood",21,2,1,8.2,175,46,0,1,8.2
"Bad Blood",21,2,2,8.1,142,46,0,1,8.1
"Bad Blood",21,2,3,8.5,147,46,0,1,8.5
"Bad Blood",21,2,4,8,130,46,0,1,8
"Bad Blood",21,2,5,8.1,121,46,0,1,8.1
"Bad Blood",21,2,6,8.1,124,46,0,1,8.1
"Bad Blood",21,2,7,8.4,130,46,0,1,8.4
"Bad Blood",21,2,8,8.1,146,46,0,1,8.1
"Better Than Us",22,1,1,7.1,216,51,0,1,7.1
"Better Than Us",22,1,2,7.4,183,54,0,1,7.4
"Better Than Us",22,1,3,7.3,146,53,0,1,7.3
"Better Than Us",22,1,4,7.4,131,53,0,1,7.4
"Better Than Us",22,1,5,7.3,121,52,0,1,7.3
"Better Than Us",22,1,6,7.3,115,52,0,1,7.3
"Better Than Us",22,1,7,7.3,112,51,0,1,7.3
"Better Than Us",22,1,8,7.4,113,52,0,1,7.4
"Better Than Us",22,2,1,7.5,99,57,0,1,7.5
"Better Than Us",22,2,2,6.9,92,51,0,1,6.9
"Better Than Us",22,2,3,7.2,93,50,0,1,7.2
"Better Than Us",22,2,4,6.9,89,51,0,1,6.9
"Better Than Us",22,2,5,6.9,82,51,0,1,6.9
"Better Than Us",22,2,6,6.8,80,52,0,1,6.8
"Better Than Us",22,2,7,7.5,82,55,0,1,7.5
"Better Than Us",22,2,8,7.7,90,51,0,1,7.7
"Beyond Stranger Things",23,1,1,7.7,242,25,0,0,NA
"Beyond Stranger Things",23,1,2,7.7,210,24,0,0,NA
"Beyond Stranger Things",23,1,3,7.7,190,25,0,0,NA
"Beyond Stranger Things",23,1,4,7.4,173,17,0,0,NA
"Beyond Stranger Things",23,1,5,7.5,166,18,0,0,NA
"Beyond Stranger Things",23,1,6,7.4,159,15,0,0,NA
"Beyond Stranger Things",23,1,7,8,158,23,0,0,NA
"Big Mouth",24,1,1,7.4,1504,26,1,0,NA
"Big Mouth",24,1,2,7.6,1322,25,1,0,NA
"Big Mouth",24,1,3,7.5,1223,27,1,0,NA
"Big Mouth",24,1,4,7.6,1135,27,1,0,NA
"Big Mouth",24,1,5,8.2,1207,27,1,0,NA
"Big Mouth",24,1,6,7.1,1098,27,1,0,NA
"Big Mouth",24,1,7,7.4,1034,27,1,0,NA
"Big Mouth",24,1,8,8.2,1128,26,1,0,NA
"Big Mouth",24,1,9,7.8,1034,26,1,0,NA
"Big Mouth",24,1,10,7.8,1011,27,1,0,NA
"Big Mouth",24,2,1,7.6,879,25,1,0,7.6
"Big Mouth",24,2,2,8.1,855,26,1,0,8.1
"Big Mouth",24,2,3,8.1,831,26,1,0,8.1
"Big Mouth",24,2,4,7.8,781,26,1,0,7.8
"Big Mouth",24,2,5,7.6,946,26,1,0,7.6
"Big Mouth",24,2,6,8,758,26,1,0,8
"Big Mouth",24,2,7,7.4,716,26,1,0,7.4
"Big Mouth",24,2,8,8.5,816,26,1,0,8.5
"Big Mouth",24,2,9,8.2,718,26,1,0,8.2
"Big Mouth",24,2,10,8.5,782,27,1,0,8.5
"Big Mouth",24,3,1,8.1,868,46,1,0,8.1
"Black",25,1,1,8.1,51,47,0,1,NA
"Black",25,1,3,8.6,33,42,0,1,NA
"Black",25,1,4,8.6,31,46,0,1,NA
"Black",25,1,5,8.6,32,45,0,1,NA
"Black",25,1,6,8.7,29,41,0,1,NA
"Black Earth Rising",26,1,1,7.5,171,59,0,0,7.5
"Black Earth Rising",26,1,2,8.1,139,59,0,0,8.1
"Black Earth Rising",26,1,3,7.8,124,58,0,0,7.8
"Black Earth Rising",26,1,4,7.4,112,58,0,0,7.4
"Black Earth Rising",26,1,5,7.6,112,58,0,0,7.6
"Black Earth Rising",26,1,6,7.8,97,58,0,0,7.8
"Black Earth Rising",26,1,7,7.9,93,59,0,0,7.9
"Black Earth Rising",26,1,8,7.8,94,59,0,0,7.8
"Black Mirror",27,1,1,7.7,46948,44,0,1,NA
"Black Mirror",27,1,2,8.1,46944,62,0,1,NA
"Black Mirror",27,1,3,8.6,47676,49,0,1,NA
"Black Mirror",27,2,1,8.1,39987,48,0,1,NA
"Black Mirror",27,2,2,8,39922,42,0,1,NA
"Black Mirror",27,2,3,6.7,33553,43,0,1,NA
"Black Mirror",27,2,4,9.1,49454,73,0,1,NA
"Black Mirror",27,3,1,8.3,48023,63,0,1,NA
"Black Mirror",27,3,2,8.1,40261,57,0,1,NA
"Black Mirror",27,3,3,8.5,41539,52,0,1,NA
"Black Mirror",27,3,4,8.6,50729,61,0,1,NA
"Black Mirror",27,3,5,7.6,31256,60,0,1,NA
"Black Mirror",27,3,6,8.5,35578,89,0,1,NA
"Black Mirror",27,4,1,8.3,45636,76,0,1,NA
"Black Mirror",27,4,2,7.3,35824,52,0,1,NA
"Black Mirror",27,4,3,7.3,33565,59,0,1,NA
"Black Mirror",27,4,4,8.8,45157,51,0,1,NA
"Black Mirror",27,4,5,6.6,31655,41,0,1,NA
"Black Mirror",27,4,6,8.7,36289,69,0,1,NA
"Black Mirror",27,5,1,6.8,33000,61,0,1,6.8
"Black Mirror",27,5,2,7.5,29970,70,0,1,7.5
"Black Mirror",27,5,3,6,29949,67,0,1,6
"Black Spot",28,1,1,7.2,347,55,0,1,NA
"Black Spot",28,1,2,7.3,292,53,0,1,NA
"Black Spot",28,1,3,7.5,256,51,0,1,NA
"Black Spot",28,1,4,7.5,235,53,0,1,NA
"Black Spot",28,1,5,7.5,220,55,0,1,NA
"Black Spot",28,1,6,7.6,215,55,0,1,NA
"Black Spot",28,1,7,7.7,211,56,0,1,NA
"Black Spot",28,1,8,8,224,56,0,1,NA
"Black Spot",28,2,1,7.6,166,53,0,1,7.6
"Black Spot",28,2,2,7.6,149,49,0,1,7.6
"Black Spot",28,2,3,7.6,143,54,0,1,7.6
"Black Spot",28,2,4,7.7,137,56,0,1,7.7
"Black Spot",28,2,5,7.6,132,59,0,1,7.6
"Black Spot",28,2,6,7.7,140,60,0,1,7.7
"Black Spot",28,2,7,7.4,131,57,0,1,7.4
"Black Spot",28,2,8,7.3,163,59,0,1,7.3
"Black Summer",29,1,1,7.2,1055,44,0,1,7.2
"Black Summer",29,1,2,7.5,913,35,0,1,7.5
"Black Summer",29,1,3,6.2,914,40,0,1,6.2
"Black Summer",29,1,4,6.9,861,39,0,1,6.9
"Black Summer",29,1,5,7.5,769,43,0,1,7.5
"Black Summer",29,1,6,6.9,748,34,0,1,6.9
"Black Summer",29,1,8,6.6,745,20,0,1,6.6
"Blood & Water",30,1,1,6.7,57,43,0,1,6.7
"Blood & Water",30,1,2,6.8,44,44,0,1,6.8
"Blood & Water",30,1,3,6.6,41,50,0,1,6.6
"Blood & Water",30,1,4,7.2,40,49,0,1,7.2
"Blood & Water",30,1,5,6.5,36,53,0,1,6.5
"Blood & Water",30,1,6,6.8,39,51,0,1,6.8
